add-none,1,10,20,272440,13622,0
add-none,1,100,200,237844,1189,0
add-none,1,1000,2000,268959,134,0
add-none,1,10000,20000,462044,23,0
add-none,1,100000,200000,1949491,9,0
add-none,2,10,40,404348,10108,0
add-none,2,100,400,436219,1090,0
add-none,2,1000,4000,433562,108,0
add-none,2,10000,40000,716011,17,337
add-none,2,100000,400000,8285614,20,-17286
add-none,4,10,80,497303,6216,0
add-none,4,100,800,698818,873,0
add-none,4,1000,8000,508482,63,0
add-none,4,10000,80000,1691354,21,2342
add-none,4,100000,800000,15147832,18,-15889
add-none,8,10,160,1288163,8051,0
add-none,8,100,1600,1364856,853,0
add-none,8,1000,16000,1240464,77,0
add-none,8,10000,160000,3336918,20,1463
add-none,8,100000,1600000,31882541,19,-73168
add-none,12,10,240,1842123,7675,0
add-none,12,100,2400,2427108,1011,0
add-none,12,1000,24000,2291451,95,0
add-none,12,10000,240000,4866523,20,4575
add-none,12,100000,2400000,47920041,19,-73216
add-yield-none,1,10,20,378748,18937,0
add-yield-none,1,20,40,468283,11707,0
add-yield-none,1,40,80,731072,9138,0
add-yield-none,1,80,160,1209765,7561,0
add-yield-none,1,100,200,1415682,7078,0
add-yield-none,1,1000,2000,11862089,5931,0
add-yield-none,1,10000,20000,140893400,7044,0
add-yield-none,1,100000,200000,966316854,4831,0
add-yield-none,2,10,40,460489,11512,1
add-yield-none,2,20,80,612626,7657,13
add-yield-none,2,40,160,840294,5251,16
add-yield-none,2,80,320,1472270,4600,0
add-yield-none,2,100,400,1823484,4558,17
add-yield-none,2,1000,4000,17279924,4319,19
add-yield-none,2,10000,40000,121886038,3047,1184
add-yield-none,2,100000,400000,733269480,1833,10642
add-yield-none,4,10,80,326538,4081,0
add-yield-none,4,20,160,410825,2567,0
add-yield-none,4,40,320,664100,2075,27
add-yield-none,4,80,640,1641793,2565,3
add-yield-none,4,100,800,2351472,2939,52
add-yield-none,4,1000,8000,14551166,1818,36
add-yield-none,4,10000,80000,104647244,1308,-68
add-yield-none,4,100000,800000,1030720677,1288,-77241
add-yield-none,8,10,160,1684295,10526,4
add-yield-none,8,20,320,1402020,4381,66
add-yield-none,8,40,640,1580262,2469,62
add-yield-none,8,80,1280,2278378,1779,83
add-yield-none,8,100,1600,3440113,2150,106
add-yield-none,8,1000,16000,23961268,1497,627
add-yield-none,8,10000,160000,199811946,1248,-11824
add-yield-none,8,100000,1600000,1323206653,827,-9817
add-yield-none,12,10,240,539056,2246,5
add-yield-none,12,20,480,462099,962,121
add-yield-none,12,40,960,1306654,1361,71
add-yield-none,12,80,1920,2065596,1075,92
add-yield-none,12,100,2400,3303325,1376,266
add-yield-none,12,1000,24000,28361483,1181,-91
add-yield-none,12,10000,240000,194062500,808,-3388
add-yield-none,12,100000,2400000,1702777126,709,-66943
add-yield-m,2,10000,40000,307142757,7678,0
add-yield-c,2,10000,40000,142082047,3552,0
add-yield-s,2,1000,4000,22974328,5743,0
add-yield-none,2,1000,4000,10673780,2668,94
add-yield-m,4,10000,80000,549503926,6868,0
add-yield-c,4,10000,80000,404874340,5060,0
add-yield-s,4,1000,8000,53201805,6650,0
add-yield-none,4,1000,8000,13496530,1687,136
add-yield-m,8,10000,160000,1827575529,11422,0
add-yield-c,8,10000,160000,471284768,2945,0
add-yield-s,8,1000,16000,115327393,7207,0
add-yield-none,8,1000,16000,29288590,1830,490
add-yield-m,12,10000,240000,1002776329,4178,0
add-yield-c,12,10000,240000,864525796,3602,0
add-yield-s,12,1000,24000,1614928764,67288,0
add-yield-none,12,1000,24000,23305014,971,629
add-m,1,10000,20000,27606545,1380,0
add-c,1,10000,20000,15640844,782,0
add-s,1,10000,20000,555623,27,0
add-none,1,10000,20000,317674,15,0
add-m,2,10000,40000,27123441,678,0
add-c,2,10000,40000,27105356,677,0
add-s,2,10000,40000,14352205,358,0
add-none,2,10000,40000,716293,17,2214
add-m,4,10000,80000,120188713,1502,0
add-c,4,10000,80000,51856981,648,0
add-s,4,10000,80000,20445386,255,0
add-none,4,10000,80000,1435431,17,-4835
add-m,8,10000,160000,146866736,917,0
add-c,8,10000,160000,97151031,607,0
add-s,8,10000,160000,52139399,325,0
add-none,8,10000,160000,3564365,22,1759
add-m,12,10000,240000,371443521,1547,0
add-c,12,10000,240000,133803412,557,0
add-s,12,10000,240000,75983793,316,0
add-none,12,10000,240000,5009450,20,174
add-none,1,10,20,79958,3997,0
add-none,1,100,200,94711,473,0
add-none,1,1000,2000,88488,44,0
add-none,1,10000,20000,241498,12,0
add-none,1,100000,200000,1851178,9,0
add-none,2,10,40,97829,2445,0
add-none,2,100,400,87605,219,0
add-none,2,1000,4000,123685,30,0
add-none,2,10000,40000,607303,15,-783
add-none,2,100000,400000,5939321,14,-15048
add-none,4,10,80,162839,2035,0
add-none,4,100,800,131168,163,0
add-none,4,1000,8000,202812,25,-452
add-none,4,10000,80000,1424214,17,-2856
add-none,4,100000,800000,14307070,17,-32231
add-none,8,10,160,262582,1641,0
add-none,8,100,1600,246145,153,0
add-none,8,1000,16000,337617,21,-407
add-none,8,10000,160000,3137663,19,-1574
add-none,8,100000,1600000,28835261,18,-109633
add-none,12,10,240,346778,1444,0
add-none,12,100,2400,346268,144,0
add-none,12,1000,24000,565405,23,-321
add-none,12,10000,240000,5580412,23,-14191
add-none,12,100000,2400000,54147125,22,-140694
add-yield-none,1,10,20,104179,5208,0
add-yield-none,1,20,40,119934,2998,0
add-yield-none,1,40,80,173048,2163,0
add-yield-none,1,80,160,229000,1431,0
add-yield-none,1,100,200,260192,1300,0
add-yield-none,1,1000,2000,1627239,813,0
add-yield-none,1,10000,20000,16127171,806,0
add-yield-none,1,100000,200000,158517699,792,0
add-yield-none,2,10,40,112990,2824,0
add-yield-none,2,20,80,141336,1766,7
add-yield-none,2,40,160,171749,1073,18
add-yield-none,2,80,320,248960,778,14
add-yield-none,2,100,400,259821,649,16
add-yield-none,2,1000,4000,1814300,453,0
add-yield-none,2,10000,40000,18276460,456,125
add-yield-none,2,100000,400000,176389648,440,-728
add-yield-none,4,10,80,140761,1759,4
add-yield-none,4,20,160,155972,974,21
add-yield-none,4,40,320,190522,595,20
add-yield-none,4,80,640,296481,463,94
add-yield-none,4,100,800,304444,380,71
add-yield-none,4,1000,8000,2321744,290,-132
add-yield-none,4,10000,80000,18844499,235,-321
add-yield-none,4,100000,800000,182658005,228,-1344
add-yield-none,8,10,160,332926,2080,7
add-yield-none,8,20,320,293735,917,70
add-yield-none,8,40,640,351868,549,-9
add-yield-none,8,80,1280,465885,363,53
add-yield-none,8,100,1600,495929,309,-51
add-yield-none,8,1000,16000,2234047,139,-56
add-yield-none,8,10000,160000,20890993,130,-612
add-yield-none,8,100000,1600000,209750289,131,-809
add-yield-none,12,10,240,411132,1713,13
add-yield-none,12,20,480,383616,799,123
add-yield-none,12,40,960,427470,445,172
add-yield-none,12,80,1920,515393,268,184
add-yield-none,12,100,2400,604585,251,102
add-yield-none,12,1000,24000,3447943,143,-915
add-yield-none,12,10000,240000,31575298,131,-6901
add-yield-none,12,100000,2400000,274599010,114,-32946
add-yield-m,2,10000,40000,52190180,1304,0
add-yield-c,2,10000,40000,36210446,905,0
add-yield-s,2,1000,4000,3814449,953,0
add-yield-none,2,1000,4000,2011888,502,0
add-yield-m,4,10000,80000,130568988,1632,0
add-yield-c,4,10000,80000,74310183,928,0
add-yield-s,4,1000,8000,9973053,1246,0
add-yield-none,4,1000,8000,2001727,250,-47
add-yield-m,8,10000,160000,288518643,1803,0
add-yield-c,8,10000,160000,156801723,980,0
add-yield-s,8,1000,16000,26605021,1662,0
add-yield-none,8,1000,16000,2233147,139,135
add-yield-m,12,10000,240000,441735876,1840,0
add-yield-c,12,10000,240000,240112901,1000,0
add-yield-s,12,1000,24000,50527023,2105,0
add-yield-none,12,1000,24000,3452963,143,-304
add-m,1,10000,20000,715882,35,0
add-c,1,10000,20000,516239,25,0
add-s,1,10000,20000,382262,19,0
add-none,1,10000,20000,236520,11,0
add-m,2,10000,40000,3557138,88,0
add-c,2,10000,40000,2156682,53,0
add-s,2,10000,40000,3842287,96,0
add-none,2,10000,40000,607291,15,1240
add-m,4,10000,80000,13011386,162,0
add-c,4,10000,80000,8899595,111,0
add-s,4,10000,80000,12218761,152,0
add-none,4,10000,80000,1461204,18,-3520
add-m,8,10000,160000,29486186,184,0
add-c,8,10000,160000,16259468,101,0
add-s,8,10000,160000,52472553,327,0
add-none,8,10000,160000,2765791,17,721
add-m,12,10000,240000,50560326,210,0
add-c,12,10000,240000,26797149,111,0
add-s,12,10000,240000,131932041,549,0
add-none,12,10000,240000,5717388,23,-12631
